# format: trackId, is-primary, nHits, pt, eta, pdg, q
0, 1, 0, 0.14344, 3.88864, 2212, 3.000000
1, 1, 0, 0.238102, -0.468425, 2112, 0.000000
2, 1, 0, 0.14247, 3.95059, 2212, 3.000000
3, 1, 27, 0.325165, -1.67095, 2212, 3.000000
4, 1, 0, 0.431162, 2.88909, 2212, 3.000000
5, 1, 58, 0.598588, 1.12967, 2212, 3.000000
6, 1, 0, 0.990154, 0.875902, 2112, 0.000000
7, 1, 41, 0.494629, 1.40869, 2212, 3.000000
8, 1, 0, 0.160684, 3.70405, 2212, 3.000000
9, 1, 51, 0.59858, -0.73181, 2212, 3.000000
10, 1, 0, 0.819848, 0.871923, 2112, 0.000000
11, 1, 0, 0.604286, 2.57512, 2112, 0.000000
12, 1, 0, 0.612209, 0.623357, 2112, 0.000000
13, 1, 0, 0.438542, -1.66093, 2112, 0.000000
14, 1, 0, 0.0598756, 5.04463, 2212, 3.000000
15, 1, 0, 0.278193, 3.63202, 2112, 0.000000
16, 1, 0, 0.0985212, 4.21649, 2212, 3.000000
17, 1, 53, 0.86066, 0.69715, 2212, 3.000000
18, 1, 0, 0.571916, 2.09786, 2112, 0.000000
19, 1, 0, 0.366567, -2.94644, 2212, 3.000000
20, 1, 0, 1.2299, 0.639749, 2112, 0.000000
21, 1, 0, 0.355913, 1.85778, 2112, 0.000000
22, 1, 0, 0.505943, 2.54835, 2112, 0.000000
23, 1, 19, 0.395146, 1.75283, 2212, 3.000000
24, 1, 0, 0.530599, 2.86008, 2112, 0.000000
25, 1, 0, 0.078242, 4.51108, 2212, 3.000000
26, 1, 0, 0.298785, 2.10524, 2212, 3.000000
27, 1, 0, 0.184815, 3.626, 2212, 3.000000
28, 1, 0, 0.409391, 1.37108, 2112, 0.000000
29, 1, 0, 0.132363, 3.78143, 2212, 3.000000
30, 1, 31, 0.44623, 1.33637, 2212, 3.000000
31, 1, 0, 0.286413, 3.55523, 2212, 3.000000
32, 1, 53, 0.378415, 0.229294, 2212, 3.000000
33, 1, 49, 0.710693, 0.303163, 2212, 3.000000
34, 1, 54, 1.12944, 1.03278, 2212, 3.000000
35, 1, 0, 0.343106, 3.1021, 2212, 3.000000
36, 1, 40, 0.848467, 0.590032, 2212, 3.000000
37, 1, 0, 0.815258, 2.24737, 2112, 0.000000
38, 1, 0, 0.770373, 1.72856, 2112, 0.000000
39, 1, 0, 0.125822, 4.10565, 2212, 3.000000
40, 1, 0, 0.552067, 1.01255, 2112, 0.000000
41, 1, 0, 0.154697, 3.74175, 2212, 3.000000
42, 1, 53, 0.324996, 1.02959, 2212, 3.000000
43, 1, 48, 0.384561, 0.825504, 2212, 3.000000
44, 1, 54, 0.651071, -0.977506, 2212, 3.000000
45, 1, 0, 0.101622, 4.32224, 2212, 3.000000
46, 1, 0, 1.37069, 0.956553, 3222, 3.000000
47, 1, 0, 0.292721, 2.88329, 3212, 0.000000
48, 1, 0, 0.103858, 3.96409, 2212, 3.000000
49, 1, 0, 0.450991, -0.655094, 2112, 0.000000
50, 1, 0, 0.182756, 3.60664, 2112, 0.000000
51, 1, 0, 0.17255, 3.59905, 2212, 3.000000
52, 1, 0, 0.371853, 1.44806, 2212, 3.000000
53, 1, 0, 0.0188625, -3.80908, 2112, 0.000000
54, 1, 0, 0.870597, 2.08357, 3122, 0.000000
55, 1, 0, 1.52417, -0.0858602, 2112, 0.000000
56, 1, 0, 0.128614, 4.04614, 2212, 3.000000
57, 1, 0, 0.0904497, 3.15895, 3112, -3.000000
58, 1, 0, 0.130839, 4.00604, 2212, 3.000000
59, 1, 0, 0.203879, 3.50715, 2212, 3.000000
60, 1, 1, 0.610635, 2.09494, 2212, 3.000000
61, 1, 52, 0.267441, -0.0875939, 2212, 3.000000
62, 1, 44, 1.47832, -1.41892, 2212, 3.000000
63, 1, 0, 0.173406, 3.50537, 2212, 3.000000
64, 1, 0, 0.53761, 1.27944, 2112, 0.000000
65, 1, 22, 0.947123, 0.601744, 2212, 3.000000
66, 1, 46, 0.765657, -1.11841, 2212, 3.000000
67, 1, 0, 0.280899, 3.19125, 2212, 3.000000
68, 1, 0, 0.938641, 0.579936, 3122, 0.000000
69, 1, 0, 0.459168, 0.0809403, 2112, 0.000000
70, 1, 0, 0.135325, 3.8894, 2212, 3.000000
71, 1, 0, 0.336891, 2.26036, 2212, 3.000000
72, 1, 0, 0.268225, 2.93933, 2112, 0.000000
73, 1, 0, 0.279144, 1.22889, 2112, 0.000000
74, 1, 0, 0.242419, 1.8387, 2112, 0.000000
75, 1, 0, 0.120424, 3.98954, 2212, 3.000000
76, 1, 0, 0.119907, 3.91592, 2112, 0.000000
77, 1, 2, 0.252015, 2.04466, 2212, 3.000000
78, 1, 0, 0.118695, 3.85645, 2212, 3.000000
79, 1, 0, 0.576649, 0.854121, 2112, 0.000000
80, 1, 0, 0.15332, 3.7003, 2112, 0.000000
81, 1, 0, 0.0635123, 4.99974, 2112, 0.000000
82, 1, 0, 0.447693, 2.83814, 2112, 0.000000
83, 1, 0, 0.118658, 3.95369, 2112, 0.000000
84, 1, 0, 0.338494, 2.55485, 2212, 3.000000
85, 1, 47, 1.52844, -0.337832, 2212, 3.000000
86, 1, 51, 1.42714, -0.362243, 2212, 3.000000
87, 1, 0, 0.391706, -0.922577, 2112, 0.000000
88, 1, 0, 0.193153, 3.51609, 2112, 0.000000
89, 1, 0, 0.882519, 1.61663, 2112, 0.000000
90, 1, 0, 0.159191, 3.66926, 2112, 0.000000
91, 1, 21, 0.282141, 1.73029, 2212, 3.000000
92, 1, 0, 0.745898, 0.378013, 3112, -3.000000
93, 1, 0, 0.148851, 4.14253, 2112, 0.000000
94, 1, 0, 0.439697, -0.727847, 2112, 0.000000
95, 1, 54, 0.465295, 0.498671, 2212, 3.000000
96, 1, 39, 1.21849, -1.41719, 2212, 3.000000
97, 1, 0, 0.473913, 1.85955, 2112, 0.000000
98, 1, 0, 1.48106, -1.12439, 2112, 0.000000
99, 1, 0, 1.26867, 1.49872, 2112, 0.000000
100, 1, 0, 0.277212, 3.22904, 2112, 0.000000
101, 1, 0, 0.20423, 2.7313, 2112, 0.000000
102, 1, 0, 0.569556, 2.47702, 2212, 3.000000
103, 1, 0, 0.178907, 3.66869, 2112, 0.000000
104, 1, 0, 0.425766, -2.01724, 2112, 0.000000
105, 1, 53, 1.3266, 0.767326, 2212, 3.000000
106, 1, 0, 0.14376, 3.97717, 2112, 0.000000
107, 1, 0, 0.571538, 2.68609, 2212, 3.000000
108, 1, 0, 0.588175, 2.68298, 2112, 0.000000
109, 1, 0, 0.209074, 3.36264, 2112, 0.000000
110, 1, 53, 0.390288, -0.775418, 2212, 3.000000
111, 1, 55, 0.53919, -1.09206, 2212, 3.000000
112, 1, 0, 0.252223, 3.22746, 2112, 0.000000
113, 1, 51, 0.596149, 0.161738, 2212, 3.000000
114, 1, 0, 0.38225, 2.26363, 2112, 0.000000
115, 1, 0, 0.868503, 1.72342, 2112, 0.000000
116, 1, 0, 0.112149, 4.35294, 2112, 0.000000
117, 1, 18, 0.671801, -1.81947, 2212, 3.000000
118, 1, 0, 0.347637, 3.13655, 2112, 0.000000
