# format: x, y, z, (trackId)+
413.009, -40.3382, 1376.78, 7126
413.326, -37.3216, 632.392, 7145
368.98, 189.943, 768.004, 7145
367.05, 193.572, 794.457, 7145
364.757, 197.885, 554.756, 5253
363.122, 200.98, 964.535, 7145
358.347, 209.25, 1188.49, 7145
363.037, 201.127, 1022.82, 7145
362.436, 202.167, 981.971, 7145
357.594, 210.555, 1216.03, 7145
341.623, 235.597, 376.96, 5253
254.713, 327.592, 990.01, 5231
244.114, 335.563, 1546.44, 5872
193.21, 367.243, 418.289, 5253
183.145, 372.362, 377.453, 5253
171.347, 377.944, 422.682, 5253
167.595, 379.615, 149.495, 6077
174.148, 376.697, 385.812, 5253
159.691, 383.032, 426.418, 5253
53.5159, 411.519, 396.578, 5253
39.9171, 413.053, 1129.45, 4327
22.5653, 414.398, 1596.25, 4413
15.8696, 414.661, 514.469, 5253
13.4819, 414.745, 286.359, 5253
12.562, 414.777, 15.1627, 6077
-9.78611, 414.874, 324.608, 5253
-16.7646, 414.63, 659.36, 5253
-26.0161, 414.157, 10.6414, 6070
-204.114, 361.312, 1546.91, 7034
-414.23, 24.9649, 1041.01, 6016
-413.336, -37.2216, 412.728, 1806
-411.47, -53.87, 403.46, 1806
-411.801, -51.5101, 1493.1, 6920
-410.999, -57.2188, 1597.51, 6920
-410.999, -57.2188, 1580.46, 6920
-410.999, -57.2188, 1563.84, 6920
-410.999, -57.2188, 1516.39, 6920
-253.615, -328.449, 1324.62, 5785
-231.663, -344.276, 978.882, 6758
-209.189, -358.382, 1167.09, 5308
-187.275, -370.348, 1611.53, 4641
-53.2107, -411.562, 1272.23, 3501
11.1751, -414.825, 1235.6, 5230
46.9209, -412.317, 1193.05, 5302
254.94, -327.414, 661.766, 3849
327.328, -255.05, 1239.06, 7128
363.142, -200.921, 121.399, 2013
365.653, -196.2, 103.497, 2013
365.538, -196.416, 81.5025, 2013
413.367, 36.9294, -1176.48, 989
364.489, 198.388, -1143.46, 3313
341.911, 235.17, -1497.35, 1709
332.715, 248.033, -1333.48, 1421
184.795, 371.557, -1273.97, 1469
-10.2351, 414.858, -1389.17, 3263
-155.705, 384.643, -1110.72, 1697
-205.037, 360.779, -1349.2, 1788
-226.485, 347.769, -1110.13, 1083
-253.862, 328.256, -1326.95, 3252
-341.58, 235.661, -972.974, 3261
-361.789, 203.288, -897.692, 3320
-414.641, 16.464, -1483.69, 992
-413.64, -33.401, -1574.65, 1039
-357.724, -210.329, -1488.81, 981
-230.857, -344.82, -271.416, 2012
-195.715, -365.91, -545.261, 3267
-16.9044, -414.625, -1285.83, 2415
5.94234, -414.962, -1283.81, 2415
18.8132, -414.558, -489.28, 2013
20.8988, -414.486, -114.786, 2013
40.612, -412.98, -757.201, 2013
51.2365, -411.84, -788.114, 2013
157.808, -383.793, -795.248, 2013
160.537, -382.69, -1497.58, 2650
169.016, -378.982, -794.519, 2013
172.44, -377.458, -1499.92, 2650
182.725, -372.567, -795.102, 2013
187.628, -370.176, -819.508, 2013
188.59, -369.699, -842.203, 2013
211.644, -356.965, -168.96, 1847
241.779, -337.259, -768.69, 2013
243.369, -336.104, -801.123, 2013
255.052, -327.326, -776.713, 2013
327.29, -255.099, -816.677, 2013
328.561, -253.472, -846.329, 2013
339.195, -239.114, -1271.01, 2415
350.278, -222.505, -251.334, 2013
352.182, -219.459, -218.523, 2013
352.926, -218.267, -258.039, 2013
359.081, -207.978, -1321.17, 2415
362.006, -202.913, -1322.37, 2415
359.586, -207.103, -633.54, 2013
359.639, -207.011, -600.395, 2013
383.461, -158.629, -787.93, 1703
412.816, -73.0964, 722.605, 7145
414.63, 62.0972, 1149.12, 4956
412.11, 77.1028, 649.937, 7145
396.267, 137.033, 777.177, 3825
389.54, 154.996, 1401.7, 6129
325.819, 263.922, 279.873, 5253
268.622, 321.875, 1636.16, 4842
155.253, 389.436, 118.685, 6077
60.2468, 414.89, 2.68678, 6077
-80.951, 411.397, 1153.85, 6595
-259.168, 329.536, 1128.86, 7117
-318.89, 272.179, 1371.59, 3492
-320.142, 270.687, 766.338, 3569
-413.435, -69.5852, 395.062, 1806
-397.018, -134.786, 1518.06, 7125
-391.642, -149.74, 1138.42, 5783
-62.7641, -414.537, 184.071, 2012
141.672, -394.579, 472.315, 4045
330.008, -258.564, 1476.41, 6294
391.07, -151.208, 1081.6, 3675
394.56, -141.724, 1093.72, 7145
136.758, 396.377, -1408.99, 1762
-393.247, -145.33, -1400.06, 1966
-274.189, -317.204, -912.964, 2109
-147.164, -392.58, -877.767, 1862
63.0446, -414.497, -563.46, 2002
145.536, -393.172, -794.648, 2013
260.027, -328.864, -761.099, 2013
260.422, -328.556, -791.189, 2013
273.127, -318.095, -765.711, 2013
272.654, -318.492, -802.101, 2013
269.237, -321.359, -788.59, 2013
412.799, -94.9178, 952.742, 5303
