#format: eventNumber, prototrackIndex, nMeasurements, nStates, nOutliers, nHoles, nSharedHits, chi2PerNDF, pT, eta, duplicate, fake
4, 0, 10, 31, 0, 21, 0, 4.20171, 0.36466, -0.145184, 1, 0
4, 1, 11, 31, 0, 20, 0, 2.83095, 0.23906, -0.142666, 1, 0
4, 2, 9, 29, 0, 20, 0, 4.47267, 0.468566, -0.146256, 1, 0
4, 3, 11, 32, 0, 21, 0, 3.91399, 0.186914, -0.150219, 1, 0
4, 4, 8, 23, 0, 15, 0, 1.41872, 0.247041, -0.15016, 1, 0
4, 5, 9, 25, 0, 16, 0, 1.54707, 0.23083, -0.142444, 1, 0
4, 6, 10, 29, 0, 19, 0, 1.89923, 0.139048, -0.143823, 1, 0
4, 7, 11, 32, 0, 21, 0, 1.72006, 0.128659, -0.144108, 1, 0
4, 8, 9, 27, 0, 18, 0, 1.50967, 0.134013, -0.141864, 1, 0
4, 9, 9, 28, 0, 19, 0, 0.886807, 0.159863, -0.144317, 1, 0
4, 10, 8, 26, 0, 18, 0, 0.973274, 0.164138, -0.144845, 1, 0
4, 11, 8, 24, 0, 16, 0, 1.88151, 0.144023, -0.145833, 1, 0
4, 12, 9, 27, 0, 18, 0, 1.32148, 0.121749, -0.140724, 1, 0
4, 13, 7, 19, 0, 12, 0, 1.57514, 0.146268, -0.142367, 1, 0
4, 14, 9, 35, 0, 26, 0, 2.67891, 0.110442, -0.153642, 1, 0
4, 15, 11, 50, 1, 38, 0, 2.60698, 0.103237, -0.153717, 1, 0
4, 16, 7, 28, 0, 21, 0, 3.28061, 0.112789, -0.150294, 1, 0
4, 17, 8, 40, 2, 30, 0, 1.7208, 0.0992313, -0.15034, 1, 0
4, 18, 8, 40, 1, 31, 0, 2.40523, 0.103152, -0.151585, 1, 0
4, 19, 6, 31, 2, 23, 0, 1.97172, 0.103898, -0.145264, 1, 0
4, 20, 5, 21, 1, 15, 0, 2.1714, 0.0872511, -0.160983, 1, 0
4, 21, 6, 14, 1, 7, 0, 0.635265, 0.16246, 0.269409, 1, 0
4, 22, 6, 19, 1, 12, 0, 1.83078, 0.107987, 0.195225, 1, 0
4, 23, 6, 19, 1, 12, 0, 2.48923, 0.104637, 0.19981, 1, 0
4, 24, 6, 16, 1, 9, 0, 2.11923, 0.104424, 0.218727, 1, 0
4, 25, 7, 22, 1, 14, 0, 1.758, 0.0749099, 0.220009, 1, 0
4, 26, 7, 17, 0, 10, 0, 2.16709, 0.07157, 0.226587, 1, 0
4, 27, 8, 19, 0, 11, 0, 1.81055, 0.0711243, 0.230574, 1, 0
4, 28, 12, 38, 2, 24, 0, 1.60153, 0.0730515, 0.24606, 0, 0
4, 29, 12, 38, 2, 24, 0, 1.64209, 0.0719759, 0.245315, 1, 0
4, 30, 10, 24, 0, 14, 0, 1.80628, 0.0771906, 0.23747, 1, 0
4, 31, 9, 24, 0, 15, 0, 2.65251, 0.0851948, 0.236766, 1, 0
4, 32, 6, 16, 0, 10, 0, 1.31255, 11.8171, 0.251489, 1, 0
4, 33, 4, 19, 0, 15, 0, 4.48754, 0.0718499, -0.221444, 1, 0
4, 34, 5, 21, 0, 16, 0, 1.5985, 0.0742837, -0.237199, 1, 0
4, 35, 6, 20, 1, 13, 0, 4.20611, 0.0910675, -0.23536, 1, 0
4, 36, 6, 21, 0, 15, 0, 1.48236, 0.0714597, -0.235067, 1, 0
4, 37, 5, 14, 0, 9, 0, 0.522423, 0.0796328, -0.263024, 1, 0
4, 38, 7, 18, 0, 11, 0, 1.62197, 0.126544, -0.260809, 1, 0
4, 39, 8, 21, 0, 13, 0, 2.19333, 0.112128, -0.242148, 0, 0
4, 40, 8, 57, 2, 47, 0, 3.09378, 0.574732, -0.20935, 1, 0
4, 41, 5, 13, 0, 8, 0, 0.512884, 0.165922, -0.234929, 1, 0
4, 42, 6, 18, 1, 11, 0, 2.04118, 0.120579, -0.208907, 1, 0
4, 43, 8, 23, 0, 15, 0, 4.06738, 0.104131, -0.248009, 1, 0
4, 44, 8, 21, 0, 13, 0, 2.7378, 6.62065, -0.203568, 1, 0
4, 45, 7, 20, 0, 13, 0, 2.23745, 0.129705, -0.23004, 1, 0
4, 46, 3, 9, 0, 6, 0, 3.9627, 0.0823996, 0.23594, 0, 0
4, 47, 6, 23, 1, 16, 0, 3.34189, 0.130929, 0.0280818, 1, 0
4, 48, 5, 19, 2, 12, 0, 1.42136, 0.0703501, 0.024036, 1, 0
4, 49, 6, 24, 1, 17, 0, 3.50035, 0.0807735, 0.158284, 1, 0
4, 50, 7, 24, 4, 13, 0, 3.91917, 0.0638149, 0.173058, 0, 0
4, 51, 6, 21, 1, 14, 0, 1.70148, 0.0552035, 0.047088, 1, 0
4, 52, 3, 5, 0, 2, 0, 7.45978, 0.055796, 0.130689, 1, 0
4, 53, 2, 3, 0, 1, 0, 5.80554, 0.0558038, 0.124409, 1, 0
4, 54, 5, 14, 0, 9, 0, 2.08098, 0.0540706, 0.0937037, 1, 0
4, 55, 5, 13, 0, 8, 0, 2.43168, 0.0753986, 0.117275, 1, 0
4, 56, 7, 29, 1, 21, 0, 3.04817, 0.056464, 0.418545, 1, 0
4, 57, 7, 28, 1, 20, 0, 2.51625, 0.0590195, 0.419056, 0, 0
4, 58, 6, 23, 1, 16, 0, 1.94717, 0.0650574, 0.427957, 1, 0
4, 59, 6, 23, 1, 16, 0, 1.8769, 0.0597501, 0.421612, 1, 0
4, 60, 6, 20, 1, 13, 0, 0.874554, 0.0608488, 0.448678, 1, 0
4, 61, 5, 17, 1, 11, 0, 1.09816, 0.0600391, 0.436057, 1, 0
4, 62, 6, 20, 1, 13, 0, 1.21467, 0.0599786, 0.443773, 1, 0
